id;answer;comment;date
1;OPTION2;synthesize Avon optical;2020-12-05T21:06:07
2;OPTION4;magnetic Utah Barbados Dollar;2020-12-05T19:15:39
3;OPTION5;green Profound;2020-12-05T17:17:12
4;OPTION5;Svalbard & Jan Mayen Islands Metrics Table;2020-12-05T06:18:38
5;OPTION4;scale District Games;2020-12-06T03:02:20
6;OPTION2;wireless;2020-12-05T23:01:43
7;OPTION4;Borders bleeding-edge;2020-12-05T22:02:35
8;OPTION2;Bedfordshire parsing;2020-12-05T18:36:10
9;OPTION3;strategize payment Group;2020-12-05T09:03:00
10;OPTION1;AGP Health Multi-lateral;2020-12-05T22:21:36
