id;msmh;name;num_of_credit;theory_lesson;practice_lesson
1;Nigeria Bahraini Din;intermediate Greens;25;15;42
2;Estonia;Rustic Plastic Salad Mali;7;43;57
3;invoice Secured;Awesome;42;30;25
4;Mozambique multi-byt;Interactions;53;4;14
5;Metal Security;Indiana Checking Account Glove;14;24;44
6;Unbranded Global Aut;azure;29;26;30
7;Personal Loan Accoun;circuit Tennessee frame;51;35;43
8;Plastic proactive Au;index Small Cheese;49;28;13
9;Fall;navigating;47;39;47
10;Uganda Shilling;transmitting Toys Function-bas;25;59;18
