id;name;address;phone_number;representative;line_of_bussiness
1;encoding GB Quality;generate;Avon e-ena;azure;Money Market Account calculating Liaison
2;Court strategic turquoise;value-added Shoes Configuration;Dale repur;intuitive;Mandatory Tasty Wooden Shoes
3;encryption bypassing;Ergonomic;Sleek Stee;Pizza Cambridgeshire Lead;synergy Hat Auto Loan Account
4;cutting-edge North Dakota;deploy;Factors RO;Central;Identity programming Ergonomic Steel Bacon
5;Group Creative;Self-enabling Money Market Account revolutionary;withdrawal;Berkshire New Taiwan Dollar;24 hour Fork
6;Intuitive Generic Rubber Ball synthesizing;cross-media;yellow SMT;deposit evolve Borders;Fantastic Granite Mouse Ethiopia
7;Bacon mint green Refined;Texas Regional unleash;Incredible;Customer;Lead International Peru
8;frictionless;Kids Burgs Sleek Wooden Keyboard;virtual;Accounts Rustic Chips;quantify transmit Planner
9;strategize copy;Money Market Account;auxiliary ;invoice bandwidth;Soft
10;Personal Loan Account auxiliary yellow;metrics card deposit;parse;leverage;auxiliary indexing
